2theta,intensity
17.05,52.863438
17.06,82.23201
17.07,58.737152
17.08,57.268723
17.09,57.268723
17.1,52.863438
17.11,60.20558
17.12,61.674007
17.13,58.737152
17.14,58.737152
17.15,48.45815
17.16,69.01615
17.17,55.800293
17.18,52.863438
17.19,51.395008
17.2,54.331863
17.21,63.142437
17.22,61.674007
17.23,64.61086
17.24,52.863438
17.25,58.737152
17.26,63.142437
17.27,61.674007
17.28,73.42144
17.29,91.04259
17.3,60.20558
17.31,66.07929
17.32,58.737152
17.33,69.01615
17.34,45.521294
17.35,67.54772
17.36,66.07929
17.37,61.674007
17.38,69.01615
17.39,85.16887
17.4,64.61086
17.41,42.584435
17.42,92.51102
17.43,71.95301
17.44,88.10573
17.45,69.01615
17.46,86.6373
17.47,101.32159
17.48,85.16887
17.49,98.38473
17.5,64.61086
17.51,74.88987
17.52,91.04259
17.53,64.61086
17.54,64.61086
17.55,58.737152
17.56,69.01615
17.57,38.17915
17.58,64.61086
17.59,66.07929
17.6,52.863438
17.61,64.61086
17.62,55.800293
17.63,49.92658
17.64,71.95301
17.65,48.45815
17.66,54.331863
17.67,70.48458
17.68,66.07929
17.69,55.800293
17.7,58.737152
17.71,57.268723
17.72,69.01615
17.73,51.395008
17.74,49.92658
17.75,64.61086
17.76,66.07929
17.77,70.48458
17.78,69.01615
17.79,61.674007
17.8,67.54772
17.81,66.07929
17.82,76.3583
17.83,66.07929
17.84,55.800293
17.85,52.863438
17.86,61.674007
17.87,67.54772
17.88,48.45815
17.89,69.01615
17.9,63.142437
17.91,71.95301
17.92,51.395008
17.93,69.01615
17.94,66.07929
17.95,52.863438
17.96,60.20558
17.97,55.800293
17.98,64.61086
17.99,63.142437
18.0,57.268723
18.01,57.268723
18.02,77.82673
18.03,46.98972
18.04,58.737152
18.05,58.737152
18.06,70.48458
18.07,70.48458
18.08,67.54772
18.09,71.95301
18.1,73.42144
18.11,70.48458
18.12,76.3583
18.13,82.23201
18.14,96.9163
18.15,113.069016
18.16,117.474304
18.17,138.0323
18.18,170.33774
18.19,146.84288
18.2,145.37445
18.21,116.005875
18.22,111.600586
18.23,116.005875
18.24,104.258446
18.25,102.790016
18.26,70.48458
18.27,74.88987
18.28,57.268723
18.29,82.23201
18.3,79.29515
18.31,58.737152
18.32,60.20558
18.33,70.48458
18.34,49.92658
18.35,74.88987
18.36,48.45815
18.37,63.142437
18.38,42.584435
18.39,44.052864
18.4,52.863438
18.41,48.45815
18.42,70.48458
18.43,76.3583
18.44,76.3583
18.45,51.395008
18.46,48.45815
18.47,55.800293
18.48,52.863438
18.49,49.92658
18.5,54.331863
18.51,61.674007
18.52,80.76358
18.53,69.01615
18.54,48.45815
18.55,45.521294
18.56,64.61086
18.57,46.98972
18.58,70.48458
18.59,73.42144
18.6,66.07929
18.61,69.01615
18.62,80.76358
18.63,61.674007
18.64,69.01615
18.65,67.54772
18.66,66.07929
18.67,73.42144
18.68,80.76358
18.69,49.92658
18.7,52.863438
18.71,57.268723
18.72,85.16887
18.73,74.88987
18.74,66.07929
18.75,61.674007
